fold,mode,total_trades,winning_trades,losing_trades,win_rate,total_pnl,total_return_pct,avg_win,avg_loss,largest_win,largest_loss,current_capital,peak_capital,current_drawdown,open_positions,start_time,end_time
46,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:28.077077,2026-02-19 16:15:28.077081
46,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:28.343557,2026-02-19 16:15:28.343561
47,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:28.677191,2026-02-19 16:15:28.677195
47,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:28.957084,2026-02-19 16:15:28.957090
48,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:29.193027,2026-02-19 16:15:29.193030
48,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:29.454277,2026-02-19 16:15:29.454281
49,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:29.691566,2026-02-19 16:15:29.691569
49,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:29.952200,2026-02-19 16:15:29.952205
50,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:30.181937,2026-02-19 16:15:30.181942
50,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:30.461508,2026-02-19 16:15:30.461516
51,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:30.889421,2026-02-19 16:15:30.889425
51,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:31.156221,2026-02-19 16:15:31.156234
52,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:31.385812,2026-02-19 16:15:31.385816
52,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:31.647287,2026-02-19 16:15:31.647290
53,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:31.876796,2026-02-19 16:15:31.876800
53,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:32.136128,2026-02-19 16:15:32.136135
54,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:32.371352,2026-02-19 16:15:32.371356
54,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:32.635111,2026-02-19 16:15:32.635115
55,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:32.882057,2026-02-19 16:15:32.882061
55,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:33.181918,2026-02-19 16:15:33.181923
56,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:33.425782,2026-02-19 16:15:33.425786
56,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:33.836594,2026-02-19 16:15:33.836598
57,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:34.089665,2026-02-19 16:15:34.089675
57,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:34.384016,2026-02-19 16:15:34.384020
58,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:34.695475,2026-02-19 16:15:34.695479
58,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:34.995258,2026-02-19 16:15:34.995262
59,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:35.277492,2026-02-19 16:15:35.277498
59,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:35.564627,2026-02-19 16:15:35.564632
60,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:35.810099,2026-02-19 16:15:35.810103
60,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:36.233264,2026-02-19 16:15:36.233270
61,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:36.467320,2026-02-19 16:15:36.467324
61,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:36.736932,2026-02-19 16:15:36.736937
62,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:36.965373,2026-02-19 16:15:36.965377
62,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:37.233734,2026-02-19 16:15:37.233739
63,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:37.461836,2026-02-19 16:15:37.461842
63,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:37.732509,2026-02-19 16:15:37.732513
64,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:37.958918,2026-02-19 16:15:37.958921
64,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:38.226311,2026-02-19 16:15:38.226315
65,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:38.451863,2026-02-19 16:15:38.451867
65,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:38.721107,2026-02-19 16:15:38.721112
66,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:38.947478,2026-02-19 16:15:38.947482
66,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:39.348805,2026-02-19 16:15:39.348810
67,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:39.583597,2026-02-19 16:15:39.583601
67,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:39.856825,2026-02-19 16:15:39.856831
68,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:40.084032,2026-02-19 16:15:40.084037
68,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:40.378107,2026-02-19 16:15:40.378111
69,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:40.601561,2026-02-19 16:15:40.601565
69,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:40.871600,2026-02-19 16:15:40.871610
70,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:41.100821,2026-02-19 16:15:41.100825
70,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:41.539442,2026-02-19 16:15:41.539451
71,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:41.767369,2026-02-19 16:15:41.767373
71,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:42.058076,2026-02-19 16:15:42.058080
72,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:42.323451,2026-02-19 16:15:42.323457
72,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:42.603209,2026-02-19 16:15:42.603213
73,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:42.851587,2026-02-19 16:15:42.851591
73,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:43.139065,2026-02-19 16:15:43.139200
74,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:43.400202,2026-02-19 16:15:43.400209
74,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:43.688157,2026-02-19 16:15:43.688165
75,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:43.932752,2026-02-19 16:15:43.932760
75,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:44.249489,2026-02-19 16:15:44.249494
76,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:44.498248,2026-02-19 16:15:44.498252
76,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:45.030994,2026-02-19 16:15:45.030998
77,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:45.395917,2026-02-19 16:15:45.395921
77,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:45.669805,2026-02-19 16:15:45.669811
78,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:45.897289,2026-02-19 16:15:45.897293
78,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:46.162270,2026-02-19 16:15:46.162274
79,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:46.395822,2026-02-19 16:15:46.395829
79,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:46.663811,2026-02-19 16:15:46.663818
80,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:47.032058,2026-02-19 16:15:47.032063
